#Define which features will be assigned values in an annotation type ("Concept" in this case)
@CONCEPT_FEATURES|PE|Negation|Certainty|Temporality|Experiencer|ImpressionCertainty|DiagnosticMention|Acute|Chronic|Left|Right|ArteryMain|ArteryInterlobar|ArteryLobar|ArterySegmental|ArterySubSegmental
@CONCEPT_FEATURES|PE_Site|Negation|Certainty|Temporality|Experiencer|ImpressionCertainty|DiagnosticMention|Left|Right|ArteryMain|ArteryInterlobar|ArteryLobar|ArterySegmental|ArterySubSegmental


#Define the values that a feature can have, the 1st value is the default value
#The following definitions will be used as an index for FastContext to find the corresponding Feature to assign the modifier
#value, once a modifier value is available.
#In this case the 'Negation' feature has two values: 'affirm' and 'negated', 'affirm' is the default value.
@FEATURE_VALUES|Negation|affirm|negated
@FEATURE_VALUES|Certainty|certain|uncertain
@FEATURE_VALUES|Temporality|present|historical|hypothetical
@FEATURE_VALUES|Experiencer|patient|nonpatient
@FEATURE_VALUES|ImpressionCertainty|imcertain|imuncertain
@FEATURE_VALUES|DiagnosticMention|yes|no


@FEATURE_VALUES|Acute|acute|acut_no
@FEATURE_VALUES|Chronic|chro_no|chronic


@FEATURE_VALUES|Left|left_no|left_yes
@FEATURE_VALUES|Right|right_no|right_yes

@FEATURE_VALUES|ArteryMain|main_no|main_yes
@FEATURE_VALUES|ArteryInterlobar|inter_no|inter_yes
@FEATURE_VALUES|ArteryLobar|lobar_no|lobar_yes
@FEATURE_VALUES|ArterySegmental|seg_no|seg_yes
@FEATURE_VALUES|ArterySubSegmental|subseg_no|subseg_yes


#rule string|direction|trigger type|modifier|window size
> 0 -month of|forward|trigger|historical|30
> 0 -months of|forward|trigger|historical|30
> 0 -year of|forward|trigger|historical|30
> 0 -years of|forward|trigger|historical|30
> 0 month ago|backward|trigger|historical|30
> 0 month of|forward|trigger|historical|30
> 0 months ago|backward|trigger|historical|30
> 0 months of|forward|trigger|historical|30
> 0 year ago|backward|trigger|historical|30
> 0 year of|forward|trigger|historical|30
> 0 years ago|backward|trigger|historical|30
> 0 years of|forward|trigger|historical|30
> 0 yrs ago|backward|trigger|historical|30
> 1 -week of|forward|trigger|historical|30
> 1 -weeks of|forward|trigger|historical|30
> 1 week ago|backward|trigger|historical|30
> 1 week of|forward|trigger|historical|30
> 1 weeks ago|backward|trigger|historical|30
> 1 weeks of|forward|trigger|historical|30
> 13 -day of|forward|trigger|historical|30
